image_filename,relative_path,subject,year,section,question_no,question_type,correct_answer,marks,negative_marks
CE_EnvironmentalEngineering_001.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_001.png,CE,,EnvironmentalEngineering,1,MCQ,C,,
CE_EnvironmentalEngineering_002.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_002.png,CE,,EnvironmentalEngineering,2,MCQ,A,,
CE_EnvironmentalEngineering_003.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_003.png,CE,,EnvironmentalEngineering,3,MCQ,C,,
CE_EnvironmentalEngineering_004.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_004.png,CE,,EnvironmentalEngineering,4,MCQ,B,,
CE_EnvironmentalEngineering_005.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_005.png,CE,,EnvironmentalEngineering,5,MCQ,B,,
CE_EnvironmentalEngineering_006.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_006.png,CE,,EnvironmentalEngineering,6,MCQ,D,,
CE_EnvironmentalEngineering_007.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_007.png,CE,,EnvironmentalEngineering,7,MCQ,A,,
CE_EnvironmentalEngineering_008.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_008.png,CE,,EnvironmentalEngineering,8,MCQ,A,,
CE_EnvironmentalEngineering_009.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_009.png,CE,,EnvironmentalEngineering,9,MCQ,C,,
CE_EnvironmentalEngineering_010.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_010.png,CE,,EnvironmentalEngineering,10,MCQ,D,,
CE_EnvironmentalEngineering_011.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_011.png,CE,,EnvironmentalEngineering,11,MCQ,A,,
CE_EnvironmentalEngineering_012.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_012.png,CE,,EnvironmentalEngineering,12,MCQ,B,,
CE_EnvironmentalEngineering_013.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_013.png,CE,,EnvironmentalEngineering,13,MCQ,C,,
CE_EnvironmentalEngineering_014.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_014.png,CE,,EnvironmentalEngineering,14,MCQ,B,,
CE_EnvironmentalEngineering_015.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_015.png,CE,,EnvironmentalEngineering,15,MCQ,D,,
CE_EnvironmentalEngineering_016.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_016.png,CE,,EnvironmentalEngineering,16,MCQ,B,,
CE_EnvironmentalEngineering_017.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_017.png,CE,,EnvironmentalEngineering,17,MCQ,A,,
CE_EnvironmentalEngineering_018.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_018.png,CE,,EnvironmentalEngineering,18,MCQ,A,,
CE_EnvironmentalEngineering_019.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_019.png,CE,,EnvironmentalEngineering,19,MCQ,A,,
CE_EnvironmentalEngineering_020.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_020.png,CE,,EnvironmentalEngineering,20,MCQ,B,,
CE_EnvironmentalEngineering_021.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_021.png,CE,,EnvironmentalEngineering,21,MCQ,A,,
CE_EnvironmentalEngineering_022.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_022.png,CE,,EnvironmentalEngineering,22,MCQ,B,,
CE_EnvironmentalEngineering_023.png,CE/EnvironmentalEngineering/CE_EnvironmentalEngineering_023.png,CE,,EnvironmentalEngineering,23,MCQ,A,,
