image_filename,relative_path,subject,year,section,question_no,question_type,correct_answer,marks,negative_marks
EC_2017_S1_GA_001.png,GATE_ESE_Papers/EC/GA/EC_2017_S1_GA_001.png,EC,2017,GA,1,MCQ,A,1,0.33
EC_2017_S1_GA_002.png,GATE_ESE_Papers/EC/GA/EC_2017_S1_GA_002.png,EC,2017,GA,2,MCQ,B,1,0.33
EC_2017_S1_GA_003.png,GATE_ESE_Papers/EC/GA/EC_2017_S1_GA_003.png,EC,2017,GA,3,MCQ,B,1,0.33
EC_2017_S1_GA_004.png,GATE_ESE_Papers/EC/GA/EC_2017_S1_GA_004.png,EC,2017,GA,4,MCQ,D,1,0.33
EC_2017_S1_GA_005.png,GATE_ESE_Papers/EC/GA/EC_2017_S1_GA_005.png,EC,2017,GA,5,MCQ,A,1,0.33
EC_2017_S1_GA_006.png,GATE_ESE_Papers/EC/GA/EC_2017_S1_GA_006.png,EC,2017,GA,6,MCQ,D,2,0.67
EC_2017_S1_GA_007.png,GATE_ESE_Papers/EC/GA/EC_2017_S1_GA_007.png,EC,2017,GA,7,MCQ,A,2,0.67
EC_2017_S1_GA_008.png,GATE_ESE_Papers/EC/GA/EC_2017_S1_GA_008.png,EC,2017,GA,8,MCQ,C,2,0.67
EC_2017_S1_GA_009.png,GATE_ESE_Papers/EC/GA/EC_2017_S1_GA_009.png,EC,2017,GA,9,MCQ,A,2,0.67
EC_2017_S1_GA_010.png,GATE_ESE_Papers/EC/GA/EC_2017_S1_GA_010.png,EC,2017,GA,10,MCQ,A,2,0.67
EC_2017_S1_EC_001.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_001.png,EC,2017,EC,1,MCQ,C,1,0.33
EC_2017_S1_EC_002.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_002.png,EC,2017,EC,2,MCQ,A,1,0.33
EC_2017_S1_EC_003.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_003.png,EC,2017,EC,3,MCQ,B,1,0.33
EC_2017_S1_EC_004.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_004.png,EC,2017,EC,4,MCQ,C,1,0.33
EC_2017_S1_EC_005.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_005.png,EC,2017,EC,5,MCQ,0.868,1,0.33
EC_2017_S1_EC_006.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_006.png,EC,2017,EC,6,MCQ,A,1,0.33
EC_2017_S1_EC_007.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_007.png,EC,2017,EC,7,MCQ,C,1,0.33
EC_2017_S1_EC_008.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_008.png,EC,2017,EC,8,MCQ,C,1,0.33
EC_2017_S1_EC_009.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_009.png,EC,2017,EC,9,MCQ,D,1,0.33
EC_2017_S1_EC_010.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_010.png,EC,2017,EC,10,NAT,30,1,0
EC_2017_S1_EC_011.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_011.png,EC,2017,EC,11,NAT,A,1,0
EC_2017_S1_EC_012.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_012.png,EC,2017,EC,12,MCQ,B,1,0.33
EC_2017_S1_EC_013.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_013.png,EC,2017,EC,13,NAT,0.028,1,0
EC_2017_S1_EC_014.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_014.png,EC,2017,EC,14,NAT,A,1,0
EC_2017_S1_EC_015.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_015.png,EC,2017,EC,15,NAT,1,1,0
EC_2017_S1_EC_016.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_016.png,EC,2017,EC,16,MCQ,D,1,0.33
EC_2017_S1_EC_017.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_017.png,EC,2017,EC,17,MCQ,B,1,0.33
EC_2017_S1_EC_018.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_018.png,EC,2017,EC,18,NAT,1,1,0
EC_2017_S1_EC_019.png,GATE_ESE_Papers/EC/EC/EC_2017_S1_EC_019.png,EC,2017,EC,19,NAT,B,1,0
