image_filename,relative_path,subject,year,section,question_no,question_type,correct_answer,marks,negative_marks
EE_2018_EE_001.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_001.png,EE,2018,EE,1,MCQ,C,1,
EE_2018_EE_002.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_002.png,EE,2018,EE,2,MCQ,C,1,
EE_2018_EE_003.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_003.png,EE,2018,EE,3,MCQ,D,1,
EE_2018_EE_004.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_004.png,EE,2018,EE,4,MCQ,A,1,
EE_2018_EE_005.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_005.png,EE,2018,EE,5,MCQ,B,1,
EE_2018_EE_006.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_006.png,EE,2018,EE,6,MCQ,B,1,
EE_2018_EE_007.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_007.png,EE,2018,EE,7,MCQ,B,1,
EE_2018_EE_008.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_008.png,EE,2018,EE,8,MCQ,*,1,
EE_2018_EE_009.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_009.png,EE,2018,EE,9,MCQ,C,1,
EE_2018_EE_010.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_010.png,EE,2018,EE,10,MCQ,A,1,
EE_2018_EE_011.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_011.png,EE,2018,EE,11,MCQ,C,1,
EE_2018_EE_012.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_012.png,EE,2018,EE,12,MCQ,C,1,
EE_2018_EE_013.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_013.png,EE,2018,EE,13,MCQ,C,1,
EE_2018_EE_014.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_014.png,EE,2018,EE,14,MCQ,C,1,
EE_2018_EE_015.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_015.png,EE,2018,EE,15,MCQ,B,1,
EE_2018_EE_016.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_016.png,EE,2018,EE,16,MCQ,B,1,
EE_2018_EE_017.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_017.png,EE,2018,EE,17,MCQ,B,1,
EE_2018_EE_018.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_018.png,EE,2018,EE,18,MCQ,A,1,
EE_2018_EE_019.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_019.png,EE,2018,EE,19,MCQ,A,1,
EE_2018_EE_020.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_020.png,EE,2018,EE,20,MCQ,B,1,
EE_2018_EE_021.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_021.png,EE,2018,EE,21,MCQ,C,1,
EE_2018_EE_022.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_022.png,EE,2018,EE,22,MCQ,D,1,
EE_2018_EE_023.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_023.png,EE,2018,EE,23,MCQ,C,1,
EE_2018_EE_024.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_024.png,EE,2018,EE,24,MCQ,B,1,
EE_2018_EE_025.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_025.png,EE,2018,EE,25,MCQ,C,1,
EE_2018_EE_026.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_026.png,EE,2018,EE,26,MCQ,C,1,
EE_2018_EE_027.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_027.png,EE,2018,EE,27,MCQ,C,1,
EE_2018_EE_028.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_028.png,EE,2018,EE,28,MCQ,A,1,
EE_2018_EE_029.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_029.png,EE,2018,EE,29,MCQ,B,1,
EE_2018_EE_030.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_030.png,EE,2018,EE,30,MCQ,B,1,
EE_2018_EE_031.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_031.png,EE,2018,EE,31,MCQ,C,1,
EE_2018_EE_032.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_032.png,EE,2018,EE,32,MCQ,D,1,
EE_2018_EE_033.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_033.png,EE,2018,EE,33,MCQ,B,1,
EE_2018_EE_034.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_034.png,EE,2018,EE,34,MCQ,*,1,
EE_2018_EE_035.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_035.png,EE,2018,EE,35,MCQ,A,1,
EE_2018_EE_036.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_036.png,EE,2018,EE,36,MCQ,A,1,
EE_2018_EE_037.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_037.png,EE,2018,EE,37,MCQ,C,1,
EE_2018_EE_038.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_038.png,EE,2018,EE,38,MCQ,C,1,
EE_2018_EE_039.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_039.png,EE,2018,EE,39,MCQ,A,1,
EE_2018_EE_040.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_040.png,EE,2018,EE,40,MCQ,A,1,
EE_2018_EE_041.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_041.png,EE,2018,EE,41,MCQ,C,1,
EE_2018_EE_042.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_042.png,EE,2018,EE,42,MCQ,C,1,
EE_2018_EE_043.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_043.png,EE,2018,EE,43,MCQ,A,1,
EE_2018_EE_044.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_044.png,EE,2018,EE,44,MCQ,D,1,
EE_2018_EE_045.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_045.png,EE,2018,EE,45,MCQ,B,1,
EE_2018_EE_046.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_046.png,EE,2018,EE,46,MCQ,B,1,
EE_2018_EE_047.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_047.png,EE,2018,EE,47,MCQ,B,1,
EE_2018_EE_048.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_048.png,EE,2018,EE,48,MCQ,A,1,
EE_2018_EE_049.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_049.png,EE,2018,EE,49,MCQ,C,1,
EE_2018_EE_050.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_050.png,EE,2018,EE,50,MCQ,A,1,
EE_2018_EE_051.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_051.png,EE,2018,EE,51,MCQ,B,1,
EE_2018_EE_052.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_052.png,EE,2018,EE,52,MCQ,D,1,
EE_2018_EE_053.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_053.png,EE,2018,EE,53,MCQ,UNKNOWN,1,
EE_2018_EE_054.png,GATE_ESE_Papers/EE/EE/EE_2018_EE_054.png,EE,2018,EE,54,MCQ,B,1,
