image_filename,relative_path,subject,year,section,question_no,question_type,correct_answer,marks,negative_marks
IN_2018_GA_001.png,GATE_ESE_Papers/IN/GA/IN_2018_GA_001.png,IN,2018,GA,1,MCQ,A,1,0.33
IN_2018_GA_002.png,GATE_ESE_Papers/IN/GA/IN_2018_GA_002.png,IN,2018,GA,2,MCQ,C,1,0.33
IN_2018_GA_003.png,GATE_ESE_Papers/IN/GA/IN_2018_GA_003.png,IN,2018,GA,3,MCQ,B,1,0.33
IN_2018_GA_004.png,GATE_ESE_Papers/IN/GA/IN_2018_GA_004.png,IN,2018,GA,4,MCQ,C,1,0.33
IN_2018_GA_005.png,GATE_ESE_Papers/IN/GA/IN_2018_GA_005.png,IN,2018,GA,5,MCQ,D,1,0.33
IN_2018_GA_006.png,GATE_ESE_Papers/IN/GA/IN_2018_GA_006.png,IN,2018,GA,6,MCQ,A,2,0.67
IN_2018_GA_007.png,GATE_ESE_Papers/IN/GA/IN_2018_GA_007.png,IN,2018,GA,7,MCQ,C,2,0.67
IN_2018_GA_008.png,GATE_ESE_Papers/IN/GA/IN_2018_GA_008.png,IN,2018,GA,8,MCQ,D,2,0.67
IN_2018_GA_009.png,GATE_ESE_Papers/IN/GA/IN_2018_GA_009.png,IN,2018,GA,9,MCQ,C,2,0.67
IN_2018_GA_010.png,GATE_ESE_Papers/IN/GA/IN_2018_GA_010.png,IN,2018,GA,10,MCQ,A,2,0.67
IN_2018_IN_001.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_001.png,IN,2018,IN,1,MCQ,A,1,0.33
IN_2018_IN_002.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_002.png,IN,2018,IN,2,MCQ,B,1,0.33
IN_2018_IN_003.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_003.png,IN,2018,IN,3,MCQ,D,1,0.33
IN_2018_IN_004.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_004.png,IN,2018,IN,4,NAT,1 to 1,1,0
IN_2018_IN_005.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_005.png,IN,2018,IN,5,MCQ,B,1,0.33
IN_2018_IN_006.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_006.png,IN,2018,IN,6,MCQ,A,1,0.33
IN_2018_IN_007.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_007.png,IN,2018,IN,7,MCQ,C,1,0.33
IN_2018_IN_008.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_008.png,IN,2018,IN,8,NAT,1009 to 1011,1,0
IN_2018_IN_009.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_009.png,IN,2018,IN,9,MCQ,D,1,0.33
IN_2018_IN_010.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_010.png,IN,2018,IN,10,MCQ,A,1,0.33
IN_2018_IN_011.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_011.png,IN,2018,IN,11,MCQ,C,1,0.33
IN_2018_IN_012.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_012.png,IN,2018,IN,12,NAT,"90 to 90 (or)
‐270 to ‐270",1,0
IN_2018_IN_013.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_013.png,IN,2018,IN,13,MCQ,A,1,0.33
IN_2018_IN_014.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_014.png,IN,2018,IN,14,NAT,"180 to 180 (or)
‐180 to ‐180",1,0
IN_2018_IN_015.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_015.png,IN,2018,IN,15,NAT,0 to 0,1,0
IN_2018_IN_016.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_016.png,IN,2018,IN,16,NAT,200 to 200,1,0
IN_2018_IN_017.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_017.png,IN,2018,IN,17,NAT,10 to 10,1,0
IN_2018_IN_018.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_018.png,IN,2018,IN,18,MCQ,C,1,0.33
IN_2018_IN_019.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_019.png,IN,2018,IN,19,MCQ,C,1,0.33
IN_2018_IN_020.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_020.png,IN,2018,IN,20,MCQ,D,1,0.33
IN_2018_IN_021.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_021.png,IN,2018,IN,21,NAT,200 to 200,1,0
IN_2018_IN_022.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_022.png,IN,2018,IN,22,NAT,95 to 97,1,0
IN_2018_IN_023.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_023.png,IN,2018,IN,23,MCQ,A,1,0.33
IN_2018_IN_024.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_024.png,IN,2018,IN,24,NAT,0.3 to 0.3,1,0
IN_2018_IN_025.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_025.png,IN,2018,IN,25,NAT,75 to 75,1,0
IN_2018_IN_026.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_026.png,IN,2018,IN,26,MCQ,D,2,0.67
IN_2018_IN_027.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_027.png,IN,2018,IN,27,MCQ,B,2,0.67
IN_2018_IN_028.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_028.png,IN,2018,IN,28,MCQ,C,2,0.67
IN_2018_IN_029.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_029.png,IN,2018,IN,29,MCQ,D,2,0.67
IN_2018_IN_030.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_030.png,IN,2018,IN,30,NAT,0.95 to 1.05,2,0
IN_2018_IN_031.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_031.png,IN,2018,IN,31,NAT,66 to 68,2,0
IN_2018_IN_032.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_032.png,IN,2018,IN,32,MCQ,A,2,0.67
IN_2018_IN_033.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_033.png,IN,2018,IN,33,MCQ,C,2,0.67
IN_2018_IN_034.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_034.png,IN,2018,IN,34,MCQ,D,2,0.67
IN_2018_IN_035.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_035.png,IN,2018,IN,35,MCQ,C,2,0.67
IN_2018_IN_036.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_036.png,IN,2018,IN,36,NAT,0 to 0,2,0
IN_2018_IN_037.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_037.png,IN,2018,IN,37,MCQ,D,2,0.67
IN_2018_IN_038.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_038.png,IN,2018,IN,38,NAT,8.9 to 9.1,2,0
IN_2018_IN_039.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_039.png,IN,2018,IN,39,MCQ,D,2,0.67
IN_2018_IN_040.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_040.png,IN,2018,IN,40,NAT,Marks to All,2,0
IN_2018_IN_041.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_041.png,IN,2018,IN,41,NAT,17.5 to 17.9,2,0
IN_2018_IN_042.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_042.png,IN,2018,IN,42,NAT,0.98 to 1.00,2,0
IN_2018_IN_043.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_043.png,IN,2018,IN,43,MCQ,B,2,0.67
IN_2018_IN_044.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_044.png,IN,2018,IN,44,MCQ,C,2,0.67
IN_2018_IN_045.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_045.png,IN,2018,IN,45,NAT,279 to 282,2,0
IN_2018_IN_046.png,GATE_ESE_Papers/IN/IN/IN_2018_IN_046.png,IN,2018,IN,46,MCQ,A,2,0.67
